;host_is_superhost;host_total_listings_count;latitude;longitude;accommodates;bathrooms;bedrooms;beds;extra_people;minimum_nights;number_of_reviews;instant_bookable;ano;mes;num_amenities;property_type_Apartment;property_type_Condominium;property_type_House;property_type_Outro;cancellation_policy_flexible;cancellation_policy_moderate;cancellation_policy_strict;cancellation_policy_strict_14_with_grace_period;price
1;1;2.0;-22.96591903141144;-43.17896230586568;5;1.0;2.0;2.0;51.0;4;205;1;2018;4;25;False;True;False;False;False;False;True;False;270.0
3;0;3.0;-22.977116804101872;-43.19045414722083;3;1.0;1.0;2.0;45.0;4;208;0;2018;4;14;True;False;False;False;False;False;True;False;161.0
4;1;1.0;-22.98302369705461;-43.21427004586688;3;1.0;1.0;2.0;68.0;2;200;1;2018;4;16;True;False;False;False;False;False;True;False;222.0
5;1;1.0;-22.988164695838663;-43.1935877232457;3;1.5;1.0;2.0;86.0;2;116;0;2018;4;30;True;False;False;False;False;False;True;False;308.0
6;1;1.0;-22.981268983403904;-43.19045722266827;2;1.0;1.0;2.0;80.0;3;255;1;2018;4;30;False;False;False;True;False;False;True;False;219.0
8;0;3.0;-22.921990204401368;-43.18383627708071;3;1.0;0.0;2.0;0.0;3;1;0;2018;4;14;True;False;False;False;False;False;True;False;120.0
18;0;1.0;-22.981808499143884;-43.20207447846784;1;2.0;1.0;1.0;0.0;5;3;0;2018;4;23;True;False;False;False;False;False;True;False;79.0
19;0;2.0;-22.930459638444702;-43.174499045394604;6;2.0;4.0;4.0;118.0;7;8;0;2018;4;33;True;False;False;False;False;False;True;False;758.0
21;0;1.0;-22.98178307520968;-43.20076497509299;4;3.0;2.0;2.0;0.0;1;12;0;2018;4;33;True;False;False;False;False;False;True;False;400.0
23;1;3.0;-22.982817069184243;-43.19571177528839;2;1.0;0.0;1.0;46.0;3;116;1;2018;4;16;True;False;False;False;False;False;True;False;151.0
24;0;1.0;-22.984982857327967;-43.19135454377816;2;1.0;1.0;1.0;34.0;1;79;0;2018;4;14;True;False;False;False;False;False;True;False;99.0
27;0;1.0;-22.98448796128208;-43.23067691137379;2;1.0;1.0;2.0;0.0;2;13;0;2018;4;7;True;False;False;False;False;False;True;False;410.0
29;0;2.0;-22.985087803450085;-43.30055768107104;2;1.0;1.0;1.0;0.0;2;2;0;2018;4;13;False;False;True;False;False;False;True;False;201.0
30;0;1.0;-22.98026529884033;-43.19254657523175;4;1.0;1.0;1.0;68.0;3;129;0;2018;4;27;True;False;False;False;False;False;True;False;106.0
36;0;2.0;-22.91788629684083;-43.18059101849662;2;1.0;1.0;1.0;0.0;2;0;0;2018;4;21;False;False;False;True;False;False;True;False;400.0
37;0;3.0;-22.91431201768764;-43.18884415499858;2;1.0;1.0;2.0;50.0;7;76;0;2018;4;13;True;False;False;False;False;False;True;False;79.0
39;0;2.0;-22.925194298131007;-43.19118336151667;2;2.0;1.0;1.0;38.0;2;12;1;2018;4;21;True;False;False;False;False;True;False;False;68.0
40;0;4.0;-22.96924906222345;-43.18283457669387;5;2.0;2.0;3.0;0.0;3;20;0;2018;4;16;True;False;False;False;False;False;True;False;280.0
44;0;1.0;-22.88756433675867;-43.5941334568168;5;1.0;1.0;1.0;45.0;1;3;1;2018;4;21;False;False;False;True;True;False;False;False;171.0
45;0;4.0;-22.98386039967817;-43.21383479718011;2;1.0;1.0;1.0;0.0;2;2;0;2018;4;15;True;False;False;False;False;False;True;False;301.0
46;0;1.0;-22.94103019897892;-43.17617189796836;2;1.0;1.0;2.0;0.0;2;38;0;2018;4;31;True;False;False;False;False;False;True;False;376.0
49;0;3.0;-22.98667861455319;-43.22171052846176;4;2.0;3.0;3.0;100.0;3;27;1;2018;4;22;True;False;False;False;False;False;True;False;485.0
56;0;4.0;-22.983510987596407;-43.190499142959744;5;3.0;2.0;4.0;0.0;6;0;0;2018;4;17;True;False;False;False;False;False;True;False;397.0
58;0;5.0;-22.945054390760365;-43.18137333983515;4;1.0;1.0;1.0;0.0;4;0;0;2018;4;9;True;False;False;False;False;False;True;False;110.0
60;0;1.0;-23.030912124178677;-43.47327164127425;4;2.0;1.0;4.0;40.0;1;3;0;2018;4;12;False;False;False;True;False;True;False;False;99.0
63;1;1.0;-22.98856948559512;-43.227161309628805;4;1.0;0.0;3.0;63.0;2;56;1;2018;4;34;True;False;False;False;False;False;True;False;167.0
66;0;1.0;-22.904867732361947;-43.20923666801632;2;2.0;1.0;2.0;0.0;1;0;0;2018;4;8;True;False;False;False;False;True;False;False;240.0
69;0;1.0;-23.008898126526315;-43.43049491016248;4;1.0;2.0;2.0;0.0;4;3;1;2018;4;22;True;False;False;False;False;False;True;False;359.0
70;0;1.0;-22.92248730479137;-43.18858032505165;6;1.0;1.0;2.0;100.0;2;0;0;2018;4;9;True;False;False;False;True;False;False;False;249.0
71;1;2.0;-23.011446777435;-43.315749245984975;2;1.0;1.0;2.0;80.0;2;7;0;2018;4;23;True;False;False;False;False;False;True;False;154.0
72;0;2.0;-22.98784203208504;-43.2275128172309;4;1.0;1.0;3.0;0.0;2;79;1;2018;4;27;True;False;False;False;False;False;True;False;847.0
74;0;1.0;-22.98322043740515;-43.19087057989069;4;1.0;1.0;2.0;0.0;3;95;1;2018;4;18;True;False;False;False;False;False;True;False;161.0
75;0;2.0;-22.920019447041287;-43.18004812924552;5;1.5;2.0;2.0;85.0;2;52;1;2018;4;16;True;False;False;False;False;False;True;False;205.0
79;1;3.0;-22.962117617454343;-43.17592362624936;3;1.0;1.0;1.0;34.0;2;25;1;2018;4;30;True;False;False;False;False;True;False;False;239.0
80;0;5.0;-22.915806722943746;-43.19181152048642;2;0.0;1.0;1.0;30.0;2;6;0;2018;4;7;False;False;True;False;False;True;False;False;51.0
81;0;1.0;-22.90903738101952;-43.18943233696957;2;1.0;1.0;1.0;80.0;2;0;0;2018;4;11;True;False;False;False;False;False;True;False;150.0
82;0;3.0;-22.9645385697689;-43.17761451441753;1;1.0;1.0;1.0;14.0;1;0;0;2018;4;6;True;False;False;False;True;False;False;False;324.0
